article_url,article_caption,article_body
https://www.investopedia.com/terms/a/abandonmentvalue.asp,Abandonment Value,Abandonment value is the value of a project or asset if it were immediately liquidated or sold. The abandonment value of an asset or project can vary for many reasons including liquidity supply-demand factors and implied fair value appraisals performed by certified appraisers.
https://www.investopedia.com/terms/a/abatement.asp,Abatement,Abatement is a reduction in or an exemption of the level of taxation faced by an individual or company. Examples of an abatement include a tax decrease a reduction in penalties or a rebate. If an individual or business overpays its taxes or receives a tax bill that is too high it can request an abatement from the tax authorities.
https://www.investopedia.com/terms/a/abatementcost.asp,Abatement Cost,An abatement cost is a cost borne by firms when they are required to remove and/or reduce undesirable nuisances or negative byproducts created during production.
https://www.investopedia.com/terms/a/abbreviated-new-drug-application-anda.asp,Abbreviated New Drug Application (ANDA),Abbreviated New Drug Application (ANDA) is a written request to the U.S. Food and Drug Administration (FDA) to manufacture and market a generic drug in the United States. Abbreviated New Drug Applications are “abbreviated” since they do not require the applicant to conduct clinical trials and require less information than a New Drug Application.
https://www.investopedia.com/terms/a/abbreviated-new-drug-submission-ands.asp,Abbreviated New Drug Submission (ANDS),An Abbreviated New Drug Submission (ANDS) is a written request to Health Canada to obtain marketing approval for a generic drug. An Abbreviated New Drug Submission must be approved by Health Canada the country’s federal department in charge of national health care under Canada’s Food and Drug regulations before the generic drug can be marketed in the country. An ANDS provides the necessary information for the government agency to evaluate how safe and effective a generic drug is compared with its brand-name equivalent. The generic must be equally safe and effective to gain approval.
https://www.investopedia.com/terms/a/abcagreement.asp,ERROR FOR THIS URL,
https://www.investopedia.com/terms/a/abcd-counties.asp,ABCD Counties,ABCD Counties are categories of U.S. counties devised by The Nielsen Corp. based on U.S. Census Bureau population data and metropolitan areas. Such county classification are used by marketing and advertising agencies advertisers media buyers and various other entities in the preparation execution and analysis of advertising and media plans. ABCD Counties are based on the population totals of U.S. counties and also their proximity to a metro area or anchor city. A counties are the largest U.S. counties by population and D counties are the smallest. Counties are classified on the basis of data from the latest census which takes place every 10 years.
https://www.investopedia.com/terms/a/abend.asp,New York Stock Exchange (NYSE),The New York Stock Exchange (NYSE) is a stock exchange located in New York City that is considered the largest equities-based exchange in the world based on the total market capitalization of its listed securities. Formerly run as a private organization the NYSE became a public entity in 2005 following the acquisition of electronic trading exchange Archipelago. In 2007 a merger with Euronext the largest stock exchange in Europe led to the creation of NYSE Euronext which was later acquired by Intercontinental Exchange the current parent of the New York Stock Exchange.
https://www.investopedia.com/terms/a/abenomics.asp,Abenomics,Abenomics refers to the economic policies of a particular politician in the same way Reaganomics or Clintonomics does. Its a nickname for the multi-pronged economic program of Japanese prime minister Shinzō Abe.
https://www.investopedia.com/terms/a/abeyance.asp,Abeyance,Abeyance is a situation in which the rightful owner of a property office or title has not yet been decided.
https://www.investopedia.com/terms/a/abeyance-order.asp,Abeyance Order,An abeyance order is a court order declaring that the legal right to a property or claim is in abeyance or temporarily placed on hold until matters are resolved. In advertising an abeyance order refers to an order from an advertiser for a media slot on television or radio that is temporarily unavailable. As a result the order may be held in abeyance until a suitable advertising slot opens up.
https://www.investopedia.com/terms/a/abilitytopay.asp,Ability To Pay,Ability to pay is an economic principle that states that the amount of tax an individual pays should be dependent on the level of burden the tax will create relative to the wealth of the individual. The ability to pay principle suggests that the real amount of tax paid is not the only factor that has to be considered and that other issues such as ability to pay should also be factored into a tax system.
https://www.investopedia.com/terms/a/ability-to-repay.asp,Ability To Repay,The ability to repay refers to an individuals financial capacity to make good on a debt. Specifically the phrase ability to repay was used in the 2010 Dodd-Frank Wall Street Reform and Consumer Protection Act to describe the requirement that mortgage originators substantiate that potential borrowers can afford the mortgage they are applying for.
https://www.investopedia.com/terms/a/ability-to-pay-taxation.asp,Ability-To-Pay Taxation,Ability-to-pay taxation is a progressive taxation principle that maintains that taxes should be levied according to a taxpayers ability to pay. This progressive taxation approach places an increased tax burden on individuals partnerships companies corporations trusts and certain estates with higher incomes. 
https://www.investopedia.com/terms/a/able-account.asp,ABLE Account,An ABLE account is a tax-advantaged savings account available to individuals diagnosed with significant disabilities before age 26. Contributions can be made to the account by the beneficiary friends or family members but the total annual contribution must not exceed a certain limit which is pegged to the gift tax exemption. In 2018 this limit is $15000 – up from $14000 in the previous year. 
https://www.investopedia.com/terms/a/abnormal-earnings-valuation-model.asp,Abnormal Earnings Valuation Model Definition,The abnormal earnings valuation model is a method for determining a companys equity value based on both its book value and its earnings. Also known as the residual income model it looks at whether managements decisions will cause a company to perform better or worse than anticipated.
https://www.investopedia.com/terms/a/abnormalreturn.asp,Abnormal Return,An abnormal return describes the unusual profits generated by given securities or portfolios over a specified period. The performance is different from the expected or anticipated rate of return (RoR) for the investment. The anticipated rate of return is the estimated return based on an asset pricing model using a long run historical average or multiple valuations.
https://www.investopedia.com/terms/a/abnormal-spoilage.asp,Abnormal Spoilage,Abnormal spoilage is the amount of waste or destruction of inventory beyond what is expected in normal business processes. Abnormal spoilage can be the result of broken machinery or from inefficient operations and is considered to be at least partially preventable. In accounting abnormal spoilage an expense item is recorded separately from normal spoilage on internal books.
https://www.investopedia.com/terms/a/abovefullemploymentequilibrium.asp,Above Full-Employment Equilibrium,Above full-employment equilibrium is a macroeconomic term used to describe a situation in which an economy’s real gross domestic product (GDP) is in excess of its long-run potential level. Accordingly the amount that the current real GDP is greater then the historic average is called an inflationary gap as this will create inflationary pressures in this particular economy.
https://www.investopedia.com/terms/a/above-ground-risk.asp,ERROR FOR THIS URL,
https://www.investopedia.com/terms/a/abovepar.asp,Above Par,Above par is a term used to describe the price of a bond when it is trading above its face value. A bond usually trades at above par when its income distributions are higher than those of other bonds currently available in the market. This occurs when interest rates have declined so that newly-issued bonds carry lower coupon rates.
https://www.investopedia.com/terms/a/above-the-line-deduction.asp,Above The Line Deduction,An above the line deduction is an item that is subtracted from gross income in order to calculate adjusted gross income on the IRS form 1040. The IRS form 1040 is used by individual U.S. taxpayers and households to calculate and file their yearly taxes. Above the line deductions occur on lines 23 through 35 of the IRS form 1040 and include items such as educator expenses health savings account deduction moving expenses deductible self-employment taxes deductive contributions to retirement accounts student loan interest tuition and fees and others. The above the line deductions are separate items from the itemized deductions provided on the form 1040 schedule A and are also different from the standard deduction that can be claimed on line 40 of the IRS form 1040.
https://www.investopedia.com/terms/a/abovethemarket.asp,Above The Market,Above the market refers to an order to buy or sell at a price higher than the current market price. The most common above the market orders include limit orders to sell stop orders to buy or stop-limit orders to buy.
https://www.investopedia.com/terms/a/abovewater.asp,Above Water,Above water is a colloquial term that refers to a situation where the ending market value or current market value of an asset is greater than the beginning market value or book value of the asset. It may also refer to a situation where a person stays out of financial or economic trouble or a situation in which a company remains financially viable.
https://www.investopedia.com/terms/a/above-the-line-cost.asp,Above-The-Line Costs,Above-the-line costs refer literally to: 1) costs above the line that separates gross profits from operating expenses or 2) costs above the line that separates operating income from other expenses. In the first case these costs are generally considered cost of sales (COS) or cost of goods sold (COGS) for companies that manufacture products. Utilities and companies in the service sector consider expenses above the operating income line as above-the-line costs.
https://www.investopedia.com/terms/a/absentee-landlord.asp,Absentee Landlord,An absentee landlord is an individual corporate or state entity that owns and rents out real estate but is not located on or near the property.
https://www.investopedia.com/terms/a/absentee-owner.asp,Absentee Owner,An absentee owner is an individual or corporation that owns a particular property without actually occupying it or actively managing it. Technically an individual can be considered to be an absentee owner simply by owning a piece of real estate without living in it but this describes a majority of landlords as well as most real estate companies and real estate investment trusts (REITs). The term absentee owner is intended to distinguish between property owners that are hands on with their investment versus those who are hands off. Absentee owners generally look at real estate from an investment standpoint only and may contract out all management duties to a third party as in a property management company. Absentee owner can describe a real estate investor with one condo in a different state from where he or she lives or it can describe a corporation that owns shopping malls and apartment buildings all over the country. 
https://www.investopedia.com/terms/a/absenteeism.asp,Absenteeism,Absenteeism is the habitual non-presence of an employee at his or her job. Habitual non-presence extends beyond what is expected as a normal amount of time away for reasons such as scheduled vacation or occasional illness. Possible causes of absenteeism include job dissatisfaction ongoing personal issues and chronic medical problems. Regardless of the cause a worker with a pattern of being absent may put his reputation and his employed status at risk. However some forms of absence from work are legally protected and cannot be grounds for termination.
https://www.investopedia.com/terms/a/absoluteadvantage.asp,Absolute Advantage,Absolute advantage is the ability of an individual company region or country to produce a good or service at a lower cost per unit than another entity that produces the same good or service. An entity with an absolute advantage can produce a product or service using a smaller number of inputs or a more efficient process than another entity producing the same good or service.
https://www.investopedia.com/terms/a/absolute-auction.asp,Absolute Auction,An absolute auction is a type of auction where the sale is awarded to the highest bidder. Absolute auctions do not have a reserve price which sets a minimum required bid for the item to be sold. There are many different types of auctions. An absolute auction is the classic type of auction where the item is sold to the highest bidder regardless of the price. Since there is no reserve price or minimum floor above which bidding must start the bidding starts at $0 in an absolute auction.
https://www.investopedia.com/terms/a/absolute-beneficiary.asp,Absolute Beneficiary,An absolute beneficiary is a designation of a beneficiary that can not be changed without the written consent of that beneficiary. This term is often used in connection with an insurance policy when a beneficiary is named. The terms of the policy or agreement will specify whether the beneficiary is absolute or if it can be changed.
https://www.investopedia.com/terms/a/abi.asp,Absolute Breadth Index (ABI),The Absolute Breadth Index (ABI) is a market indicator used to determine volatility levels in the market without factoring in price direction. It is calculated by taking the absolute value of the difference between the number of advancing issues and the number of declining issues. Typically large numbers suggest volatility is increasing which is likely to cause significant changes in stock prices in the coming weeks. Market technicians are regular users of an Absolute Breadth Index approach to managing assets. Its methodology falls in line with similar market momentum indicators.
https://www.investopedia.com/terms/a/absolute-exclusion.asp,Absolute Exclusion,An absolute exclusion is an insurance policy clause that eliminates coverage of certain events. This type of clause allows insurers to deny coverage of claims regardless of how the event came to be even if the claim only relates to the type of exclusion remotely. Insurers use absolute exclusions to clarify what events they will not cover in a policy regardless of how an event comes to pass.
https://www.investopedia.com/terms/a/absolute_frequency.asp,Absolute Frequency,Absolute frequency is a statistical term describing the number of times a particular piece of data or value appears during a trial or set of trials. Essentially it is the number of times a particular thing happens. If each relative frequency is added up for the entire trial the total of all of the relative frequencies will equal the total number of pieces of data or observations collected during the trial.
https://www.investopedia.com/terms/a/absolute-interest.asp,Absolute Interest,Absolute interest means having full ownership or the total and complete rights to an asset. Absolute interest can be held on assets such as real estate jewelry or vehicles to name a few. It indicates that the owners interest is not diluted by or subject to another partys ownership nor is it dependent on conditions that must be fulfilled. An individual with an absolute interest has both legal and beneficial possession of an asset or property meaning that person has the sole right to legally possess the asset and receive benefits from it.
https://www.investopedia.com/terms/a/absolute-percentage-growth.asp,Absolute Percentage Growth,Absolute percentage growth is an increase in the value of an asset or account expressed in percentage terms. Absolute percentage growth implies that the increase in value is displayed on a standalone basis and not in relation to a benchmark or another asset. The term absolute percentage growth can cause some confusion since absolute usually refers to total increase or decrease in asset value in dollar terms while percentage refers to the relative change (increase or decrease) over a period of time. Thus if stock X increases in price from $10 to $15 the absolute increase is $5 while the percentage increase is 50%. The term may therefore be more accurately referred to as absolute growth (or absolute return) in percentage terms.
https://www.investopedia.com/terms/a/absolute-performance-standard.asp,Absolute Performance Standard,The absolute performance standard is a benchmark for quality control that is only attainable in theory such as a goal of zero defects. However although it is unattainable it can be a good way to measure how well a business and its workers are doing. The organization can measure how far the business and its processes are falling from the mark of perfection the absolute performance standard represents. Optimally the business would slowly move towards the absolute performance standard as it improves its processes. When used in this way it is a way of measuring an organizations progress and how effective and efficient it is at running its business.
https://www.investopedia.com/terms/a/absolute_physical_life.asp,Absolute Physical Life,Absolute physical life is the lifespan of a physical asset. It is the length of time that it takes for an asset to become fully depreciated at which point it no longer functions and has zero financial value.
https://www.investopedia.com/terms/a/absolute-pollution-exclusion.asp,Absolute Pollution Exclusion,Absolute pollution exclusion is a commercial liability insurance policy clause that removes coverage of pollution that results from regular business operations. Absolute pollution exclusions to comprehensive general liability insurance policies became common after 1986 when standard pollution exclusions no longer contained “sudden and accidental” pollution incidents.
https://www.investopedia.com/terms/a/absolutepriority.asp,Absolute Priority,Absolute priority is a rule that stipulates the order of payment in the event of corporate liquidation among creditors and shareholders. The absolute priority rule is used in corporate bankruptcies to decide what portion of payment will be received by which participants. Debts to creditors will be paid first and shareholders divide what remains. Absolute priority also applies to individuals who face liquidation of their assets to settle claims. Secured always takes precedence over unsecured claims.
https://www.investopedia.com/terms/a/absoluterate.asp,Absolute Rate,The absolute rate sometimes also referred to as an absolute swap yield is the fixed portion of an interest rate swap expressed as a percentage rather than as a premium or a discount to a reference rate. It is therefore calculated as the sum of two parts of the contract: the fixed rate component as well as the variable bank rate of a swap. The absolute rate represents the total yield accrued by both parties in an interest rate swap.
https://www.investopedia.com/terms/a/absolutereturn.asp,Absolute Return,Absolute return is the return that an asset achieves over a certain period of time. This measure looks at the appreciation or depreciation expressed as a percentage that an asset such as a stock or a mutual fund achieves over a given period of time. Absolute return differs from relative return because it is concerned with the return of a particular asset and does not compare it to any other measure or benchmark.
https://www.investopedia.com/terms/a/absolute-return-index.asp,Absolute Return Index,The absolute return index is a stock index designed to measure absolute returns on investment.  The index was created to compare the performance of an individual hedge fund against the hedge fund market as a whole. It is a composite index made up of five other indexes.
https://www.investopedia.com/terms/a/absolute-title.asp,Absolute Title,An absolute title also known as a perfect title to a property is free of any encumbrances or deficiencies. An absolute title gives unequivocal right of ownership to the owner and cannot be disputed or challenged by anyone else. This is opposed to titles with liens attachments or judgments against them.
https://www.investopedia.com/terms/a/absolute-value.asp,Absolute Value,An absolute value is a business valuation method that uses discounted cash flow (DCF) analysis to determine a companys financial worth.
https://www.investopedia.com/terms/a/absorbed.asp,Absorbed,Absorbed as a business term generally refers to taking in acquiring or bearing. The term can be applied in a number of situations the most common of which is manufacturing overhead. Absorbing a cost increase instead of passing it on to a consumer is another instance in which the term is used. Others include absorbing shares in an initial public offering (IPO) and absorbing a firm in a mergers and acquisition transaction (M&A).
links,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-life-insurance.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-principle.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/accelerative-endowment.asp,ERROR FOR THIS URL,"Message: chrome not reachable
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,"Message: chrome not reachable
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-life-insurance.asp,ERROR FOR THIS URL,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-life-insurance.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-principle.asp,ERROR FOR THIS URL,"Message: chrome not reachable
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,"can only concatenate str (not ""NoneType"") to str"
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,"Message: chrome not reachable
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-life-insurance.asp,ERROR FOR THIS URL,"Message: chrome not reachable
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-life-insurance.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-principle.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
links,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,"Message: chrome not reachable
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-life-insurance.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-principle.asp,ERROR FOR THIS URL,"Message: chrome not reachable
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-life-insurance.asp,ERROR FOR THIS URL,"Message: chrome not reachable
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
links,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.45.615279 (12b89733300bd268cff3b78fc76cb8f3a7cc44e5),platform=Linux 4.15.0-43-generic x86_64)
"
links,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-clause.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accelerationcovenant.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-life-insurance.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleration-principle.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accelerative-endowment.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceleratortheory.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceptable-quality-level-aql.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceptance.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceptance-market.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceptance-of-office-by-trustee.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceptance-sampling.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceptance-testing.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accepting-risk.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/acceptor.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accessory-dwelling-unit-adu.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accidentandhealthbenefits.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accident-and-sickness-insurance-plan.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accident-year-experience.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accident-year-statistics.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accidental-death-dismemberment-insurance.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accidental-death-benefit.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accidental-high-yielder.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accidental-means.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accommodation-endorsement.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accommodation-endorser.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accommodation-line.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accommodation-paper.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accommodation_trading.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accomodativemonetarypolicy.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accord-and-satisfaction.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accordionfeature.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-activity.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-aggregation.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-analysis.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountbalance.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-current.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-executive.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-freeze.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-history.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-hold.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-in-trust.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-inquiry.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-manager.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-minimum.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-number.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-reconcilement.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account_settlement.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-statement.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/account-supervisor.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountability.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountable-care-organizations.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountableplan.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountant.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountant-in-charge.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountant-international-study-group-aisg.asp,ERROR FOR THIS URL,"Message: 
"
https://www.investopedia.com/terms/a/accountant-responsibility.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountants-letter.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountant-liability.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
https://www.investopedia.com/terms/a/accountantsopinion.asp,ERROR FOR THIS URL,'WebElement' object has no attribute 'innerHTML'
